company name,CVR
&TRADITION A/S,18169304
3Shape A/S,25553489
3XN A/S,14277137
A.T. Kearney P/S,37811319
AAK DENMARK A/S,15672099
Abacus Medicine A/S,28111576
ABB A/S,31371716
Abtion A/S,33147791
Accenture A/S,13227500
Accura Advokatpartnerselskab,33039018
Actimo ApS,32932770
ADCendo ApS,38780093
ADI Global Distribution Denmark A/S,10508894
Aeven A/S,43432133
AFRY Denmark A/S,13590885
AGC Biologics A/S,25950941
AGF A/S,83839910
Agilent Technologies Denmark ApS,21852902
Agramkow Fluid Systems A/S,12245599
Agreena ApS,39467275
"AIG Europe, dansk filial af AIG Europe S.A., Luxembourg",39475723
AIP Management P/S,39504308
Air Liquide Danmark A/S,15036117
Airtame ApS,35478973
AJKON ApS,39950332
Aktieselskabet Th. Wessel & Vett. Magasin Du Nord,58191213
Akurat A/S,39470268
AKQA Denmark A/S,29203776
Albatros Travel A/S,20342781
Alchemist ApS,36890207
Alcon Nordic A/S,15887478
ALD Automotive A/S,87573613
A-Leaf ApS,35520023
Alfa Laval Copenhagen A/S,10134285
Alfa Laval Kolding A/S,30938011
Alfa Laval Nakskov A/S,20533900
Alfa Laval Nordic A/S,20255617
Alfa Laval Aalborg A/S,17830635
Alfapeople Nordic A/S,28295448
Align Technology ApS,42284041
Alipes Capital ApS,31883784
Alm. Brand Forsikring A/S,10526949
Altrad Services A/S,41656204
"Altus Intervention, filial af Altus Intervention AS, Norge",33068182
AMBU A/S,63644919
ANCHERSEN A/S,30822536
Andel Holding A/S,25784413
Anthill Agency A/S,34466513
A.P. MØLLER HOLDING A/S,25679288
"APPLE AB, Filial af Apple Aktiebolag, Sverige",28703228
aptio group Denmark ApS,39420937
ARAMARK DENMARK ApS,32946593
ARDAGH GLASS HOLMEGAARD A/S,18445042
Ardmac ApS,38800639
Area9 Lyceum ApS,39079976
Arkitektskolen Aarhus,27120717
Arla Foods AMBA,25313763
Ascendis Pharma A/S,29918791
Asiainfo Denmark ApS,35515798
Astralis Group Management ApS,39990970
Atkins Danmark A/S,26048494
ATLANT 3D Nanosystems ApS,40051171
ATOS IT SOLUTIONS AND SERVICES A/S,33051034
AUTOSTREIT ApS,33044011
Au2Vest ApS,37874299
Avanade Denmark A/S,20646330
B&O Play A/S,33859643
BAADER Food Systems Denmark A/S,19189511
Babcock & Wilcox Vølund A/S,25053664
Bacon X ApS,31933080
BAD & FLISER A/S,32059279
Bain & Company Denmark ApS,30714520
Bakken Bears A/S,28716958
Ball Beverage Packaging Fredericia A/S,30917839
Banedanmark,18632276
Bang & Olufsen A/S,41257911
Bankernes EDB Central A.M.B.A.,13088810
"Banking Circle Denmark, Filial af Banking Circle S.A., Luxembourg",41023821
"BASF Coatings Services, filial af (BASF Coatings Services AB, Sverige)",10077214
Bauhaus Danmark A/S,19555305
Bavarian Nordic A/S,16271187
BB Electronics A/S,21662534
BB Kolding ApS,26388902
BC Hospitality Group A/S,37939838
Bech-Bruun Advokatpartnerselskab,38538071
BeGreen ApS,43692836
Bel Air Aviation,29143307
Bestseller A/S,88216512
Bestseller Wholesale A/S,39365871
Better Collective ApS,27652913
BEUMER Group A/S,12655681
BHJ A/S,11423418
BIH-INVEST ApS,26541670
Bilfinger Industrier Danmark A/S,33859538
"Bilfinger Salamis Danmark, filial af Bilfinger Salamis UK Limited, Storbritannien",39115654
BILHUSET ENGMARK A/S,32078850
BioInnovation Institute Fonden,41898666
BIOMAR A/S,37820318
Biomar Group A/S,38570617
BioPhero ApS,38109340
BioPorto Diagnostics A/S,18645882
Birger Christensen A/S,10750113
BITZER Electronics A/S,21340006
Bizbrains A/S,33510837
Bjarke Ingels Group A/S,29309396
BK Medical ApS,15731176
BLAST ApS,38074466
BLUE FOX - HERNING A/S,21790206
Blue Ocean Robotics ApS,34885478
BlueCollar A/S,32095828
BlueNord Energy Denmark A/S,78342714
Bluetown ApS,30075277
Blue Water Shipping A/S,40516611
BLÜCHER METAL A/S,49260016
BMS Heavy Cranes A/S,33499639
Boehringer Ingelheim Animal Health Denmark A/S,13526990
BOEHRINGER INGELHEIM DANMARK A/S,14450807
BOSCH REXROTH A/S,82104313
BPA Pro Team ApS,33957157
Brave Solar A/S,38780727
Bright Star Studios ApS,39822075
Brøndbyernes I.F. Fodbold A/S,83933410
BS Denmark ApS,37891940
BUKA ApS,40383646
Burmeister & Wain Scandinavian Contractor A/S,87929116
"BW Epic Kosan Maritime Pte. Ltd., Denmark, filial af BW Epic Kosan Maritime Pte. Ltd., Singapore",42069477
By Malene Birger A/S,26869048
Byens Bilpleje Køge ApS,39322609
Cadeler A/S,31180503
C&D FOODS (DENMARK) A/S,78804912
Cafeen af 26/11 ApS,40067140
CANON DANMARK A/S,56193316
Capgemini Danmark A/S,25606965
Capital Four Management Fondsmæglerselskab A/S,30593065
Carlsberg A/S,61056416
Carlsberg Breweries A/S,25508343
Carlsberg Global Business Services A/S,27139280
Carrington ApS,21416134
Cassin Networks ApS,36967552
Castberggård,50572617
CDRator A/S,26499879
Centrica Energy Trading A/S,20293195
CERTEX Danmark A/S,16069248
Ce-Tec A/S,33771339
CFCO A/S,38729144
C.F. MØLLER DANMARK A/S,29244391
CGI Danmark A/S,63890812
CG Jensen A/S,30517628
Chainalysis ApS,39221233
Cheminova A/S,12760043
Chopsticks Værløse ApS,41218355
Chr. Hansen A/S,12516479
Chr. Hansen Holding A/S,28318677
Chr. Hansen Natural Colors A/S,35638784
CityJet A/S,34576890
Clean,29727538
CLIPPER BULK A/S,21289086
CO-RO A/S,63548715
Cobe A/S,30914678
Cobiro ApS,37518336
COBOD International A/S,38151886
Codan Forsikring A/S,41963948
CODAN MEDICAL ApS,16272078
Cognizant Technology Solutions Denmark ApS,31160502
Colgate-Palmolive A/S,43418114
Collen ApS,43050893
Coloplast A/S,69749917
Columbus A/S,13228345
COMBINEERING A/S,29609969
COMCORES ApS,35807837
Computershare A/S,27088899
Contractbook ApS,36890649
Coop Danmark A/S,26259495
Copenhagen Business School Handelshøjskolen,19596915
Copenhagen Capacity,17538896
Copenhagen Infrastructure Partners P/S,37994006
Copenhagen Infrastructure Service Company ApS,39427168
Copenhagen International School,53060811
Copenhagen Offshore Partners A/S,36914793
Copyright Agent A/S,37597287
Corti ApS,35669825
Covento A/S,43186655
COWI A/S,44623528
CP Kelco ApS,21210285
CSIS Security Group A/S,29523355
CSK Stålindustri A/S,20216883
C.V.S Sikring ApS,37127671
"DAIFUKU EUROPE, filial af Daifuku Europe GmbH, Tyskland",39848236
Dalberg Media ApS,36735902
Dalbo A/S,15661135
Damco Denmark A/S,75085818
Dampskibsselskabet Norden A/S,67758919
Dancenter A/S,67324013
DANELEC ELECTRONICS A/S,18630877
Danfoss A/S,20165715
Danfoss Power Electronics A/S,19883876
Danfoss Power Solutions ApS,25814363
"Danica Pension, Livsforsikringsaktieselskab",24256146
Danimex Communication A/S,29669015
Danish Crown A/S,26121264
Danmarks Meteorologiske Institut (DMI),18159104
Danmarks Tekniske Universitet (DTU),30060946
DANMON GROUP A/S,66315428
DANSK BOLDSPIL-UNION,21299014
Dansk Brand- og sikringsteknisk Institut,65196816
Dansk Fundamental Metrologi A/S,29217939
Dansk Flygtningehjælp,20699310
Dansk Institut for Internationale Studier (DIIS),34462674
Dansk Stillads Service A/S,10477530
Danske Bank A/S,61126228
Danske Commodities A/S,28113951
Dantec Dynamics A/S,15107588
Dapsi International ApS,37246433
DAT-Schaub A/S,33353170
Davai Bridge & Tunnel A/S,35409173
De Nationale Geologiske Undersøgelser for Danmark og Grønland,55145016
Dedalus Healthcare Denmark ApS,41744901
Den Danske Scenekunstskole,51531817
